     z           Phi            Tk          Phi_mini       zpp[0]
35.000000   0.000000E+00   2.563500E+01   0.000000E+00   34.974033
34.064426   5.212258E-17   2.434956E+01   0.000000E+00   34.266651
33.376888   1.435630E-16   2.341594E+01   0.000000E+00   33.573196
32.702835   3.826977E-16   2.251703E+01   0.000000E+00   32.893398
32.041992   9.893166E-16   2.165159E+01   0.000000E+00   32.226978
31.394112   2.481830E-15   2.081845E+01   0.000000E+00   31.573683
30.758934   6.046159E-15   2.001648E+01   0.000000E+00   30.933250
30.136211   1.432064E-14   1.924456E+01   0.000000E+00   30.305426
29.525698   3.303588E-14   1.850162E+01   0.000000E+00   29.689960
28.927155   7.423061E-14   1.778663E+01   0.000000E+00   29.086609
28.340349   1.626178E-13   1.709858E+01   0.000000E+00   28.495138
27.765047   3.476290E-13   1.643650E+01   0.000000E+00   27.915306
27.201029   7.257843E-13   1.579946E+01   0.000000E+00   27.346891
26.648067   1.482221E-12   1.518655E+01   0.000000E+00   26.789661
26.105949   2.961291E-12   1.459690E+01   0.000000E+00   26.243399
25.574459   5.791994E-12   1.402966E+01   0.000000E+00   25.707886
25.053392   1.109884E-11   1.348402E+01   0.000000E+00   25.182915
24.542542   2.085186E-11   1.295921E+01   0.000000E+00   24.668274
24.041708   3.843534E-11   1.245449E+01   0.000000E+00   24.163761
23.550695   6.955453E-11   1.196915E+01   0.000000E+00   23.669178
23.069309   1.236552E-10   1.150256E+01   0.000000E+00   23.184324
22.597363   2.161680E-10   1.105412E+01   0.000000E+00   22.709011
22.134670   3.717618E-10   1.062333E+01   0.000000E+00   22.243052
21.681049   6.292177E-10   1.020981E+01   0.000000E+00   21.786261
21.236322   1.048688E-09   9.813337E+00   0.000000E+00   21.338455
20.800318   1.722003E-09   9.433887E+00   0.000000E+00   20.899462
20.372860   2.787359E-09   9.071749E+00   0.000000E+00   20.469103
19.953785   4.449819E-09   8.727713E+00   0.000000E+00   20.047211
19.542927   7.009580E-09   8.403068E+00   0.000000E+00   19.633619
19.140125   1.090054E-08   8.099957E+00   0.000000E+00   19.228165
18.745220   1.674204E-08   7.821640E+00   0.000000E+00   18.830683
18.358061   2.540751E-08   7.572910E+00   0.000000E+00   18.441023
17.978491   3.811489E-08   7.360574E+00   0.000000E+00   18.059027
17.606363   5.654389E-08   7.194181E+00   0.000000E+00   17.684542
17.241533   8.298581E-08   7.086967E+00   0.000000E+00   17.317425
16.883856   1.205359E-07   7.057078E+00   0.000000E+00   16.957527
16.533194   1.733342E-07   7.129375E+00   0.000000E+00   16.604710
16.189405   2.468666E-07   7.337304E+00   0.000000E+00   16.258829
15.852358   3.483991E-07   7.727127E+00   0.000000E+00   15.919751
15.521920   4.873119E-07   8.360152E+00   0.000000E+00   15.587341
15.197961   6.757347E-07   9.309463E+00   0.000000E+00   15.261469
14.880355   9.292234E-07   1.067980E+01   0.000000E+00   14.942005
14.568975   1.267565E-06   1.261091E+01   0.000000E+00   14.628822
14.263701   1.715742E-06   1.529791E+01   0.000000E+00   14.321797
13.964414   2.305086E-06   1.901787E+01   0.000000E+00   14.020811
13.670994   3.074642E-06   2.405679E+01   0.000000E+00   13.725741
13.383327   4.072746E-06   3.086176E+01   0.000000E+00   13.436474
13.101302   5.358897E-06   4.001122E+01   0.000000E+00   13.152894
12.824806   7.005925E-06   5.243098E+01   0.000000E+00   12.874889
12.553732   9.102478E-06   6.892135E+01   0.000000E+00   12.602351
12.287972   1.175595E-05   9.093816E+01   0.000000E+00   12.335170
12.027424   1.509576E-05   1.202754E+02   0.000000E+00   12.073241
11.771985   1.927719E-05   1.594724E+02   0.000000E+00   11.816463
11.521554   2.448575E-05   2.122225E+02   0.000000E+00   11.564732
11.276033   3.094213E-05   2.838100E+02   0.000000E+00   11.317948
11.035327   3.890785E-05   3.809553E+02   0.000000E+00   11.076016
10.799340   4.869163E-05   5.105770E+02   0.000000E+00   10.838840
